Ano	Carros de passageiros	Vagoes	Locomotivas
2020	72	1672	29
2019	99	1006	34
2018	312	2566	64
2017	312	2878	81
2016	473	3903	109
2015	322	4683	129
2014	374	4703	80
2013	219	2280	83
2012	207	2918	70
2011	336	5616	113
2010	430	3261	68
2009	438	1022	22
2008	447	5118	30
2007	283	1327	30
2006	113	3668	14
2005	179	7597	6
2004	45	4740	0
2003	79	2399	0
2002	217	294	5
2001	71	748	4
2000	62	1283	1
1999	98	1297	7
1998	46	869	9
1997	0	119	2
1996	12	26	1
1995	20	386	14
1994	45	70	6
1993	147	184	4
1992	162	200	13
1991	97	6	27
1990	12	186	28
